id,query,label,word_count,cleaned_query,augmented_data,tokens,lemmatized_data
783,می تونم روی سیستم سایت برنامه نصب کنم؟,3,9.0,می‌تونم روی سیستم سایت برنامه نصب کنم,میتونم روی دیوار ؟ برنامه نصب نکنی,"['می\u200cتونم', 'روی', 'سیستم', 'سایت', 'برنامه', 'نصب', 'کنم']","['می\u200cتونم', 'روی', 'سیستم', 'سایت', 'برنامه', 'نصب', 'کرد#کن']"
784,بوفه ی دانشکده کجاست؟,2,5.0,بوفه‌ی دانشکده کجاست,بوفهی مثل ما,"['بوفه\u200cی', 'دانشکده', 'کجاست']","['بوفه', 'دانشکده', 'کجاست']"
785,پارکینگ به دانشجویان اختصاص دهید,5,5.0,پارکینگ به دانشجویان اختصاص دهید,پارکینگ مناسب خود اختصاص دهید,"['پارکینگ', 'دانشجویان', 'اختصاص', 'دهید']","['پارکینگ', 'دانشجو', 'اختصاص', 'داد#ده']"
786,انتخاب واحد ترم تابستان هم مثل انتخاب واحد های عادیه؟,1,11.0,انتخاب واحد ترم تابستان هم مثل انتخاب واحد‌های عادیه,انتخاب واحدهای درسی تابستان دقیقا مثل انتخاب واحدهای عادیه,"['انتخاب', 'واحد', 'ترم', 'تابستان', 'هم', 'مثل', 'انتخاب', 'واحد\u200cهای', 'عادیه']","['انتخاب', 'واحد', 'تر', 'تابستان', 'هم', 'مثل', 'انتخاب', 'واحد', 'عادیه']"
787,کارنامه کلی رو از کدوم بخش دریافت کنم؟,1,9.0,کارنامه کلی رو از کدوم بخش دریافت کنم,کارنامه کلی رو با همین اموزشگاه دریافت کنم,"['کارنامه', 'کلی', 'کدوم', 'بخش', 'دریافت', 'کنم']","['کارنامه', 'کلی', 'کدو', 'بخش', 'دریافت', 'کرد#کن']"
788,هزینه ترم تابستان چقدر است؟,1,6.0,هزینه ترم تابستان چقدر است,درامد سفر تابستان چقدر است,"['هزینه', 'ترم', 'تابستان', 'چقدر', 'است']","['هزینه', 'تر', 'تابستان', 'چقدر', '#است']"
789,چه ساعاتی میتونیم از کامپیوتر های دانشکده استفاده کنیم؟,3,10.0,چه ساعاتی میتونیم از کامپیوتر‌های دانشکده استفاده کنیم,تا ساعاتی میتونیم از این دانشکده استفاده بدیم,"['چه', 'ساعاتی', 'میتونیم', 'کامپیوتر\u200cهای', 'دانشکده', 'استفاده', 'کنیم']","['چه', 'ساعات', 'میتونیم', 'کامپیوتر\u200cهای', 'دانشکده', 'استفاده', 'کرد#کن']"
790,دستشویی کجاس ؟,2,3.0,دستشویی کجاس,دستشویی نیستم,"['دستشویی', 'کجاس']","['دستشویی', 'کجاس']"
791,رشته مهندسی کامپیوتر چند واحد درس عمومی دارد؟,1,9.0,رشته مهندسی کامپیوتر چند واحد درس عمومی دارد,رشته ویژه کامپیوتر مگر واحد درس عمومی ؟,"['رشته', 'مهندسی', 'کامپیوتر', 'چند', 'واحد', 'درس', 'عمومی', 'دارد']","['رشته', 'مهندس', 'کامپیوتر', 'چند', 'واحد', 'درس', 'عموم', 'داشت#دار']"
792,چه مدارکی رو باید در گلستان آپلود کنم؟,1,9.0,چه مدارکی رو باید در گلستان آپلود کنم,اینجور چیزا رو باید در گلستان اپلود میکردم,"['چه', 'مدارکی', 'باید', 'گلستان', 'آپلود', 'کنم']","['چه', 'مدارک', 'باید', 'گلستان', 'آپلود', 'کرد#کن']"
793,سیستم تصحیح خودکار حقمون ضایع میکنه,4,6.0,سیستم تصحیح خودکار حقمون ضایع میکنه,ولی یادگیری خودکار واقعا ضایع میکنه,"['سیستم', 'تصحیح', 'خودکار', 'حقمون', 'ضایع', 'میکنه']","['سیستم', 'تصحیح', 'خودکار', 'حقمون', 'ضایع', 'میکنه']"
794,چرا هنوز از گلستان استفاده میکنیم؟,4,7.0,چرا هنوز از گلستان استفاده میکنیم,چرا هنوز از تاکسی استفاده نمیشود,"['چرا', 'هنوز', 'گلستان', 'استفاده', 'میکنیم']","['چرا', 'هنوز', 'گلستان', 'استفاده', 'میکنیم']"
795,تخصص استاد شمس فرد چی می باشد؟,2,8.0,تخصص استاد شمس فرد چی می‌باشد,تخصص استاد شمس سفید چی است,"['تخصص', 'استاد', 'شمس', 'فرد', 'چی', 'می\u200cباشد']","['تخصص', 'استاد', 'شمس', 'فرد', 'چی', 'بود#باش']"
796,چطوری تغییر رشته بدم؟,1,5.0,چطوری تغییر رشته بدم,چطوری میتونه فکر بدم,"['چطوری', 'تغییر', 'رشته', 'بدم']","['چطور', 'تغییر', 'رشته', 'بد']"
797,امتحان فلان استاد خیلی سخت بود.,4,7.0,امتحان فلان استاد خیلی سخت بود,امتحان کردن استاد خیلی ساده بود,"['امتحان', 'فلان', 'استاد', 'خیلی', 'سخت', 'بود']","['امتحان', 'فلان', 'استاد', 'خیلی', 'سخت', 'بود#باش']"
798,استاد درس نمره ام را وارد نکرده چگونه درسی که این درس پیشنیازش هست را بردارم,1,16.0,استاد درس نمره‌ام را وارد نکرده چگونه درسی که این درس پیشنیازش هست را بردارم,گرچه هنوز نمرهام تازه وارد نکرده چگونه میخواهم که بدون مساله پیشنیازش هست را بردارم,"['استاد', 'درس', 'نمره\u200cام', 'وارد', 'نکرده', 'چگونه', 'درسی', 'این', 'درس', 'پیشنیازش', 'هست', 'را', 'بردارم']","['استاد', 'درس', 'نمره', 'وارد', 'کرد#کن', 'چگونه', 'درس', 'این', 'درس', 'پیشنیازش', '#هست', 'را', 'بردار']"
799,آیا میتوانم کتاب فیزیک هالیدی را به امانت بگیرم؟,3,10.0,آیا میتوانم کتاب فیزیک هالیدی را به امانت بگیرم,ایا میتوانم کتاب فیزیک رو مجددا به امانت بسپاریم,"['آیا', 'میتوانم', 'کتاب', 'فیزیک', 'هالیدی', 'امانت', 'بگیرم']","['آیا', 'میتوانم', 'کتاب', 'فیزیک', 'هالیدی', 'امانت', 'گرفت#گیر']"
800,دانشجویان کدام رشته در سال 1398 پذیرش بیشتری در دانشگاه ما داشته اند؟,5,13.0,دانشجویان کدام رشته در سال پذیرش بیشتری در دانشگاه ما داشته‌اند,دانشجویان کدام مدرک را سال پذیرش شده در دانشگاه ما میپذیرند,"['دانشجویان', 'کدام', 'رشته', 'سال', 'پذیرش', 'بیشتری', 'در', 'دانشگاه', 'داشته\u200cاند']","['دانشجو', 'کدام', 'رشته', 'سال', 'پذیرش', 'بیشتر', 'در', 'دانشگاه', 'داشت#دار']"
801,هدف از تدریس دروس را یادگیری دانشجو قرار دهید.,4,10.0,هدف از تدریس دروس را یادگیری دانشجو قرار دهید,وجه عمده تدریس دروس نیز یادگیری دانشجو قرار دهید,"['هدف', 'تدریس', 'دروس', 'یادگیری', 'دانشجو', 'قرار', 'دهید']","['هدف', 'تدریس', 'دروس', 'یادگیری', 'دانشجو', 'قرار', 'داد#ده']"
802,آیا اصفهان در شمال ایران است؟,5,7.0,آیا اصفهان در شمال ایران است,ایا اصفهان قلب قلب ایران است,"['آیا', 'اصفهان', 'شمال', 'ایران', 'است']","['آیا', 'اصفهان', 'شمال', 'ایران', '#است']"
803,تهرانیا هم شامل خوابگاه میشن؟,1,6.0,تهرانیا هم شامل خوابگاه میشن,تهرانیا هم شامل همین هستند,"['تهرانیا', 'هم', 'شامل', 'خوابگاه', 'میشن']","['تهرانیا', 'هم', 'شامل', 'خوابگاه', 'میشن']"
804,میدونید کلاس مبانی برنامه نویسی کجا هست؟,1,8.0,میدونید کلاس مبانی برنامه نویسی کجا هست,یک کلاس اموزش برنامه نویسی عالی هست,"['میدونید', 'کلاس', 'مبانی', 'برنامه', 'نویسی', 'کجا', 'هست']","['میدونید', 'کلاس', 'مبانی', 'برنامه', 'نوشت#نویس', 'کجا', '#هست']"
805,درس هوش مصنوعی ترم بعد توسط چه کسی ارائه میشه؟,1,11.0,درس هوش مصنوعی ترم بعد توسط چه کسی ارائه میشه,درس هوش مصنوعی ترم دکترا توسط یک کسی ارايه ؟,"['درس', 'هوش', 'مصنوعی', 'ترم', 'بعد', 'توسط', 'چه', 'کسی', 'ارائه', 'میشه']","['درس', 'هوش', 'مصنوع', 'تر', 'بعد', 'توسط', 'چه', 'کس', 'ارائه', 'میشه']"
806,کارگاه متلب آیا ارائه میشود ؟,1,6.0,کارگاه متلب آیا ارائه میشود,کارگاه متلب چگونه ساخته میشود,"['کارگاه', 'متلب', 'آیا', 'ارائه', 'میشود']","['کارگاه', 'متلب', 'آیا', 'ارائه', 'میشود']"
808,لطفا زمان استفاده از سایت را در ایام کرونا بیشتر کنید.,4,12.0,لطفا زمان استفاده از سایت را در ایام کرونا بیشتر کنید,حداقل پروانههای استفاده وب سایت را در ایام کرونا تمدید کنید,"['لطفا', 'زمان', 'استفاده', 'سایت', 'ایام', 'کرونا', 'بیشتر', 'کنید']","['لطفا', 'زمان', 'استفاده', 'سایت', 'ایام', 'کرونا', 'بیشتر', 'کرد#کن']"
809,سرویس های خوابگاه تا کجا میرن؟,5,7.0,سرویس‌های خوابگاه تا کجا میرن,سرویسهای خوابگاه من انجاست میرن,"['سرویس\u200cهای', 'خوابگاه', 'کجا', 'میرن']","['سرویس\u200cهای', 'خوابگاه', 'کجا', 'میرن']"
810,ورژن 32 بیتی اوبونتو روی کامپیوترای سایت داریم؟,3,9.0,ورژن بیتی اوبونتو روی کامپیوترای سایت داریم,ورژن ۱ ان روی کامپیوترای دیگری داریم,"['ورژن', 'بیتی', 'اوبونتو', 'روی', 'کامپیوترای', 'سایت', 'داریم']","['ورژن', 'بیت', 'اوبونتو', 'روی', 'کامپیوترای', 'سایت', 'داشت#دار']"
811,دانشکده کامپیوتر چند کلاس دارد؟,2,6.0,دانشکده کامپیوتر چند کلاس دارد,سه کامپیوتر چند کلاس برتر,"['دانشکده', 'کامپیوتر', 'چند', 'کلاس', 'دارد']","['دانشکده', 'کامپیوتر', 'چند', 'کلاس', 'داشت#دار']"
812,تا چه ساعتی می توان در دانشکده حضور داشت؟,2,10.0,تا چه ساعتی می‌توان در دانشکده حضور داشت,یعنی اخرین ساعتی میتوان در دانشکده حضور ؛,"['چه', 'ساعتی', 'می\u200cتوان', 'دانشکده', 'حضور', 'داشت']","['چه', 'ساعت', 'می\u200cتوان', 'دانشکده', 'حضور', 'داشت']"
813,کارامل ماکیاتو یا لته؟,5,5.0,کارامل ماکیاتو یا لته,کارامل ناقص میماند لته,"['کارامل', 'ماکیاتو', 'لته']","['کارامل', 'ماکیاتو', 'لته']"
814,چطوری به دانشگاه های دیگه مهمان بشیم؟,1,8.0,چطوری به دانشگاه‌های دیگه مهمان بشیم,چطوری روی دانشگاههای دیگه مهمان میشی,"['چطوری', 'دانشگاه\u200cهای', 'دیگه', 'مهمان', 'بشیم']","['چطور', 'دانشگاه', 'دیگه', 'مهمان', 'بشیم']"
815,میشه در سایت چیزی خورد؟,3,6.0,میشه در سایت چیزی خورد,میشه به سایت چیزی ؟,"['میشه', 'سایت', 'چیزی', 'خورد']","['میشه', 'سایت', 'چیز', 'خورد#خور']"
816,اموزش کجاست,2,2.0,اموزش کجاست,شکلات کجاست,"['اموزش', 'کجاست']","['اموزش', 'کجاست']"
817,از کجا باید راکت پینگ پونگ بگیرم ؟,2,8.0,از کجا باید راکت پینگ پونگ بگیرم,ولی حالا باید راکت پینگ پینگ بگیرم,"['کجا', 'باید', 'راکت', 'پینگ', 'پونگ', 'بگیرم']","['کجا', 'باید', 'راک', 'پینگ', 'پونگ', 'گرفت#گیر']"
818,چه رشته هایی ارایه میشود,5,5.0,چه رشته هایی ارایه میشود,چه رشته اصلی ارایه و,"['چه', 'رشته', 'هایی', 'ارایه', 'میشود']","['چه', 'رشته', 'هایی', 'ارایه', 'میشود']"
819,آموزشکده معماری وهنر کجا است؟,2,6.0,آموزشکده معماری وهنر کجا است,اموزشکده فرهنگ وهنر دایر است,"['آموزشکده', 'معماری', 'وهنر', 'کجا', 'است']","['آموزشکده', 'معمار', 'وهنر', 'کجا', '#است']"
820,کتاب تو حوزه شبکه دارین؟,3,6.0,کتاب تو حوزه شبکه دارین,کتاب تو ی شبکه ای,"['کتاب', 'حوزه', 'شبکه', 'دارین']","['کتاب', 'حوزه', 'شبکه', 'دارین']"
821,معدل الف چند واحد میتونه برداره؟,1,7.0,معدل الف چند واحد میتونه برداره,معدل این بود اسم میتونه برداره,"['معدل', 'الف', 'چند', 'واحد', 'میتونه', 'برداره']","['معدل', 'الف', 'چند', 'واحد', 'میتونه', 'برداره']"
823,آمفی تائتر کجا است ؟,2,5.0,آمفی تائتر کجا است,امفی تايتر میگویند میروی,"['آمفی', 'تائتر', 'کجا', 'است']","['آمفی', 'تائتر', 'کجا', '#است']"
824,چگونه می توان دانشجوی مهمان شد؟,1,7.0,چگونه می‌توان دانشجوی مهمان شد,اینگونه میتوان دانشجوی کنکور شد,"['چگونه', 'می\u200cتوان', 'دانشجوی', 'مهمان', 'شد']","['چگونه', 'می\u200cتوان', 'دانشجو', 'مهمان', 'شد#شو']"
825,همایش ایدز مجتمع روان بسیار خوب و واضح بود.,5,10.0,همایش ایدز مجتمع روان بسیار خوب و واضح بود,همایش اعصاب و روان بسیار خوب هم واضح بود,"['همایش', 'ایدز', 'مجتمع', 'روان', 'بسیار', 'خوب', 'واضح', 'بود']","['همایش', 'ایدز', 'مجتمع', 'روان', 'بسیار', 'خوب', 'واضح', 'بود#باش']"
826,شرایط ارشد مستقیم چیست؟,1,5.0,شرایط ارشد مستقیم چیست,دکتری ارشد او چیست,"['شرایط', 'ارشد', 'مستقیم', 'چیست']","['شرایط', 'ارشد', 'مستقیم', 'چیست']"
827,اغشته شدن میوه ها به مواد سمی ایا بخاطر کود های شیمیایی است؟,5,14.0,اغشته شدن میوه‌ها به مواد سمی ایا بخاطر کود‌های شیمیایی است,اغشته شدن باکتریها به اسیدهای سمی هم بخاطر ترکیب شیمیایی است,"['اغشته', 'شدن', 'میوه\u200cها', 'مواد', 'سمی', 'ایا', 'بخاطر', 'کود\u200cهای', 'شیمیایی', 'است']","['اغشته', 'شدن', 'میوه', 'مواد', 'سم', 'ایا', 'بخاطر', 'کود', 'شیمیایی', '#است']"
828,رستوران مرکزی کجا قرار دارد؟,2,6.0,رستوران مرکزی کجا قرار دارد,رستوران مرکزی شیطان نام دارد,"['رستوران', 'مرکزی', 'کجا', 'قرار', 'دارد']","['رستوران', 'مرکزی', 'کجا', 'قرار', 'داشت#دار']"
829,سالن آمفی تائتر کجا قرار دارد ؟,2,7.0,سالن آمفی تائتر کجا قرار دارد,لباس مخصوص تايتر کجا قرار قراردارد,"['سالن', 'آمفی', 'تائتر', 'کجا', 'قرار', 'دارد']","['سالن', 'آمفی', 'تائتر', 'کجا', 'قرار', 'داشت#دار']"
830,شب بخیر,5,2.0,شب بخیر,است بخیر,"['شب', 'بخیر']","['شب', 'بخیر']"
831,معدل الف چند واحد می تواند بردارد؟,1,8.0,معدل الف چند واحد می‌تواند بردارد,هر الف سه واحد میتواند بردارد,"['معدل', 'الف', 'چند', 'واحد', 'می\u200cتواند', 'بردارد']","['معدل', 'الف', 'چند', 'واحد', 'توانست#توان', 'بردارد']"
832,از دانشکده های دیگه می تونیم درس برداریم؟,1,9.0,از دانشکده‌های دیگه می‌تونیم درس برداریم,از محاسبات ریاضی میتونیم درس برداریم,"['دانشکده\u200cهای', 'دیگه', 'می\u200cتونیم', 'درس', 'برداریم']","['دانشکده', 'دیگه', 'می\u200cتونیم', 'درس', 'بردار']"
833,تمرین های درس هوش به نسبت نمره اش زیاده,4,9.0,تمرین‌های درس هوش به نسبت نمره‌اش زیاده,درصورت افزایش هوش انسان نسبت نمرهاش زیاده,"['تمرین\u200cهای', 'درس', 'هوش', 'نسبت', 'نمره\u200cاش', 'زیاده']","['تمرین', 'درس', 'هوش', 'نسبت', 'نمره', 'زیاده']"
834,دستشویی ها کثیف هستند.,4,5.0,دستشویی‌ها کثیف هستند,کمی کثیف هستند,"['دستشویی\u200cها', 'کثیف', 'هستند']","['دستشویی\u200cها', 'کثیف', '#هست']"
835,آیا مزیتی برای اعضای حل تمرین وجود دارد؟,1,9.0,آیا مزیتی برای اعضای حل تمرین وجود دارد,مثلا مزیتی برای اعضای حل اختلاف وجود ندارد,"['آیا', 'مزیتی', 'اعضای', 'حل', 'تمرین', 'وجود', 'دارد']","['آیا', 'مزیت', 'اعضا', 'حل', 'تمرین', 'وجود', 'داشت#دار']"
836,درس برنامه نویسی پیشرفته این ترم را چه کسی ارائه میده؟,1,12.0,درس برنامه نویسی پیشرفته این ترم را چه کسی ارائه میده,؟ برنامه نویسی شما برای ترم را چه کسی ارايه خواهد,"['درس', 'برنامه', 'نویسی', 'پیشرفته', 'این', 'ترم', 'چه', 'کسی', 'ارائه', 'میده']","['درس', 'برنامه', 'نوشت#نویس', 'پیشرفته', 'این', 'تر', 'چه', 'کس', 'ارائه', 'میده']"
837,سالن دانشگاه کجاست؟,5,4.0,سالن دانشگاه کجاست,سالن دانشگاه خصوصی,"['سالن', 'دانشگاه', 'کجاست']","['سالن', 'دانشگاه', 'کجاست']"
838,بوفه حقوق رو چرا بستین؟,4,6.0,بوفه حقوق رو چرا بستین,اگه حقوق رو بهم بستین,"['بوفه', 'حقوق', 'چرا', 'بستین']","['بوفه', 'حقوق', 'چرا', 'بستین']"
839,شیب خیابان اصلی دانشگاه خیلی زیاده؟,5,7.0,شیب خیابان اصلی دانشگاه خیلی زیاده,شیب خیابان اصلی میدان خیلی است,"['شیب', 'خیابان', 'اصلی', 'دانشگاه', 'خیلی', 'زیاده']","['شیب', 'خیابان', 'اصل', 'دانشگاه', 'خیلی', 'زیاده']"
840,بعد از ساعت ناهار و نماز جواب سوالمو می دهید؟,1,11.0,بعد از ساعت ناهار و نماز جواب سوالمو می‌دهید,نه از ساعت ناهار و نماز ، بله میدهید,"['بعد', 'ساعت', 'ناهار', 'نماز', 'جواب', 'سوالمو', 'می\u200cدهید']","['بعد', 'ساعت', 'ناهار', 'نماز', 'جواب', 'سوالمو', 'داد#ده']"
841,هوا چقدر گرمه؟,5,4.0,هوا چقدر گرمه,هوا چقدر میتپد,"['هوا', 'چقدر', 'گرمه']","['هوا', 'چقدر', 'گرمه']"
842,وسایل پیدا شده رو کجا می ذارید؟,2,8.0,وسایل پیدا شده رو کجا می‌ذارید,اطلاعات پیدا شدن رو بیرون میذارید,"['وسایل', 'پیدا', 'شده', 'کجا', 'می\u200cذارید']","['وسایل', 'پیدا', 'شده', 'کجا', 'می\u200cذارید']"
843,درس ساختمان داده پیشنیاز چه درس هایی هست؟,1,9.0,درس ساختمان داده پیشنیاز چه درس هایی هست,درس اموزش داده پیشنیاز از درس هایی برای,"['درس', 'ساختمان', 'داده', 'پیشنیاز', 'چه', 'درس', 'هایی', 'هست']","['درس', 'ساختمان', 'داده', 'پیشنیاز', 'چه', 'درس', 'هایی', '#هست']"
844,کلاس ها زمان بندش ایراد داره,1,6.0,کلاس‌ها زمان بندش ایراد داره,یه زمان بندش هم داره,"['کلاس\u200cها', 'زمان', 'بندش', 'ایراد', 'داره']","['کلاس', 'زمان', 'بند', 'ایراد', 'داره']"
845,ساعت ناهار و نماز کی میباشد,2,6.0,ساعت ناهار و نماز کی میباشد,مگر قیامت و نماز کی میباشد,"['ساعت', 'ناهار', 'نماز', 'کی', 'میباشد']","['ساعت', 'ناهار', 'نماز', 'کی', 'میباشد']"
846,فرجه داریم,1,2.0,فرجه داریم,فرجه دارید,"['فرجه', 'داریم']","['فرجه', 'داشت#دار']"
847,در اتاق بازی رو بستن.,2,6.0,در اتاق بازی رو بستن,در شب بازی کنان بستن,"['اتاق', 'بازی', 'بستن']","['اتاق', 'بازی', 'بستن']"
848,کابل hdmi دارید؟,1,4.0,کابل hdmi دارید,کابل پرداخت دارید,"['کابل', 'hdmi', 'دارید']","['کابل', 'hdmi', 'داشت#دار']"
849,ایا امکان برداشتن دروس پیشنیاز و همنیاز با هم وجود دارد؟,1,12.0,ایا امکان برداشتن دروس پیشنیاز و همنیاز با هم وجود دارد,ایا امکان تدریس دروس پیشنیاز یا همنیاز با هم است دارید,"['ایا', 'امکان', 'برداشتن', 'دروس', 'پیشنیاز', 'همنیاز', 'هم', 'وجود', 'دارد']","['ایا', 'امکان', 'برداشتن', 'دروس', 'پیشنیاز', 'همنیاز', 'هم', 'وجود', 'داشت#دار']"
850,چارت بهتر شد وقتی دروس سخت افزاری را کمتر کردید,4,10.0,چارت بهتر شد وقتی دروس سخت افزاری را کمتر کردید,ولی بهتر شد وقتی دروس سخت افزاری بیشتر حذف کردید,"['چارت', 'بهتر', 'شد', 'وقتی', 'دروس', 'سخت', 'افزاری', 'کمتر', 'کردید']","['چارت', 'بهتر', 'شد#شو', 'وقت', 'دروس', 'سخت', 'افزار', 'کمتر', 'کرد#کن']"
851,برای استفاده از سلف باید کارت دانشجویی داشته باشیم؟,2,9.0,برای استفاده از سلف باید کارت دانشجویی داشته باشیم,هنگام استفاده از سلف باید کارت دانشجویی همراهتان باشم,"['استفاده', 'سلف', 'باید', 'کارت', 'دانشجویی', 'داشته_باشیم']","['استفاده', 'سلف', 'باید', 'کارت', 'دانشجویی', 'داشت#دار']"
852,ترم تابستونه هزینه,1,3.0,ترم تابستونه هزینه,هزینهها و هزینه,"['ترم', 'تابستونه', 'هزینه']","['تر', 'تابستونه', 'هزینه']"
853,برای کارآموزی چه مدارکی را لازم دارم؟,1,8.0,برای کارآموزی چه مدارکی را لازم دارم,برای کاراموزی چه مدارکی برات مدنظرتان است,"['کارآموزی', 'چه', 'مدارکی', 'لازم', 'دارم']","['کارآموزی', 'چه', 'مدارک', 'لازم', 'داشت#دار']"
854,شرایط گرفتن کتاب چگونه هست؟,3,6.0,شرایط گرفتن کتاب چگونه هست,شرایط دانلود کتاب عالی هست,"['شرایط', 'گرفتن', 'کتاب', 'چگونه', 'هست']","['شرایط', 'گرفتن', 'کتاب', 'چگونه', '#هست']"
855,رئیس دانشکدمون کییه؟,2,4.0,رئیس دانشکدمون کییه,مجله دانشکدمون با,"['رئیس', 'دانشکدمون', 'کییه']","['رئیس', 'دانشکدمون', 'کییه']"
857,کتابی که قبل از کرونا به امانت گرفتم در ایام کرونا جریمه بهش تعلق میگیره؟,3,16.0,کتابی که قبل از کرونا به امانت گرفتم در ایام کرونا جریمه بهش تعلق میگیره,کتابی که قبل با کرونا به خاطر گرفتم در ایام امروز پاسخی بهش ندادم میگیره,"['کتابی', 'قبل', 'کرونا', 'امانت', 'گرفتم', 'ایام', 'کرونا', 'جریمه', 'بهش', 'تعلق', 'میگیره']","['کتاب', 'قبل', 'کرونا', 'امانت', 'گرفت#گیر', 'ایام', 'کرونا', 'جریمه', 'به', 'تعلق', 'میگیره']"
859,چه مدارکی برای ثبت نام لازم است؟,1,8.0,چه مدارکی برای ثبت نام لازم است,چه مدارکی بدون ثبت مالکیت مهم است,"['چه', 'مدارکی', 'ثبت', 'نام', 'لازم', 'است']","['چه', 'مدارک', 'ثبت', 'نام', 'لازم', '#است']"
860,آزمایشگاه شبکه کجاس ؟,2,4.0,آزمایشگاه شبکه کجاس,… شبکه شبکه,"['آزمایشگاه', 'شبکه', 'کجاس']","['آزمایشگاه', 'شبکه', 'کجاس']"
861,دوره ی کهاد چیست؟,1,5.0,دوره‌ی کهاد چیست,همان کهاد تا,"['دوره\u200cی', 'کهاد', 'چیست']","['دوره', 'کهاد', 'چیست']"
862,تعداد سرویس های بهداشتی را افزایش دهید.,4,8.0,تعداد سرویس‌های بهداشتی را افزایش دهید,تعداد وعدههای بهداشتی را افزایش بدهید,"['تعداد', 'سرویس\u200cهای', 'بهداشتی', 'افزایش', 'دهید']","['تعداد', 'سرویس\u200cهای', 'بهداشت', 'افزایش', 'داد#ده']"
863,کتابخانه مرکزی دانشگاه کجا قرار دارد؟,2,7.0,کتابخانه مرکزی دانشگاه کجا قرار دارد,کتابخانه تخصصی دانشگاه کجا عضو دارد,"['کتابخانه', 'مرکزی', 'دانشگاه', 'کجا', 'قرار', 'دارد']","['کتابخانه', 'مرکزی', 'دانشگاه', 'کجا', 'قرار', 'داشت#دار']"
865,مهلت انتخاب واحد تا کی است؟,1,7.0,مهلت انتخاب واحد تا کی است,الان انتخاب موزه تا کی است,"['مهلت', 'انتخاب', 'واحد', 'کی', 'است']","['مهلت', 'انتخاب', 'واحد', 'کی', '#است']"
866,کدوم چاپ های کتاب هالیدی موجود هستن؟,3,8.0,کدوم چاپ‌های کتاب هالیدی موجود هستن,کدوم چاپهای سایت هالیدی واقعی هستن,"['کدوم', 'چاپ\u200cهای', 'کتاب', 'هالیدی', 'موجود', 'هستن']","['کدو', 'چاپ', 'کتاب', 'هالیدی', 'موجود', 'هستن']"
867,نسخه انگلیسی کتاب فیزیک هالیدی رو دارید؟,3,8.0,نسخه انگلیسی کتاب فیزیک هالیدی رو دارید,نمونه انگلیسی کتاب ویکتوریا هالیدی را دارید,"['نسخه', 'انگلیسی', 'کتاب', 'فیزیک', 'هالیدی', 'دارید']","['نسخه', 'انگلیسی', 'کتاب', 'فیزیک', 'هالیدی', 'داشت#دار']"
868,آیا همه ی کتابها را میتوان قرض کرد؟,3,9.0,آیا همه‌ی کتابها را میتوان قرض کرد,ایا همهی کتابها راکه میتوان بهراحتی اموخت,"['آیا', 'همه\u200cی', 'کتابها', 'میتوان', 'قرض', 'کرد']","['آیا', 'همه', 'کتاب', 'میتوان', 'قرض', 'کرد#کن']"
869,چقدر باید برای سوار شدن ون پرداخت کنیم؟,5,9.0,چقدر باید برای سوار شدن ون پرداخت کنیم,چقدر باید بدون سوار شدن گاز گیر کنیم,"['چقدر', 'باید', 'سوار', 'شدن', 'ون', 'پرداخت', 'کنیم']","['چقدر', 'باید', 'سوار', 'شدن', 'ون', 'پرداخت', 'کرد#کن']"
870,لابی کجاست؟,2,3.0,لابی کجاست,لابی از,"['لابی', 'کجاست']","['لابی', 'کجاست']"
871,استاد محمدی خوب درس نمیده.,4,6.0,استاد محمدی خوب درس نمیده,استاد همیشه خوب قول نمیده,"['استاد', 'محمدی', 'خوب', 'درس', 'نمیده']","['استاد', 'محمدی', 'خوب', 'درس', 'نمیده']"
872,واحد عمومی و تخصصی تو ترم تابستون هزینه ش یکیه ؟,1,11.0,واحد عمومی و تخصصی تو ترم تابستون هزینه ش یکیه,واحد اموزش و ارتباطات تو ترم تابستون هزینه میکند بسیار,"['واحد', 'عمومی', 'تخصصی', 'ترم', 'تابستون', 'هزینه', 'ش', 'یکیه']","['واحد', 'عموم', 'تخصص', 'تر', 'تابستون', 'هزینه', 'ش', 'یکیه']"
873,گلستان چیست؟,1,3.0,گلستان چیست,کراتین چیست,"['گلستان', 'چیست']","['گلستان', 'چیست']"
874,حداقل واحد های هر ترم چقدر هست؟,1,8.0,حداقل واحد‌های هر ترم چقدر هست,حداقل واحدهای هر ترم کافی باشه,"['حداقل', 'واحد\u200cهای', 'هر', 'ترم', 'چقدر', 'هست']","['حداقل', 'واحد', 'هر', 'تر', 'چقدر', '#هست']"
875,کجا میتونم کاغذامو پرینت بگیرم ؟,2,6.0,کجا میتونم کاغذامو پرینت بگیرم,و میتونم کاغذامو دستم بگیرم,"['کجا', 'میتونم', 'کاغذامو', 'پرینت', 'بگیرم']","['کجا', 'میتونم', 'کاغذامو', 'پرینت', 'گرفت#گیر']"
876,کتاب فیزیک هالیدی دارین؟,3,5.0,کتاب فیزیک هالیدی دارین,بهشون فیزیک فرازمینی دارین,"['کتاب', 'فیزیک', 'هالیدی', 'دارین']","['کتاب', 'فیزیک', 'هالیدی', 'دارین']"
